Tipo de fiscalizador,Ubicación,Conducta fiscalizada,Latitud,Longitud,geometry,COMUNA
Analítica de video,Av. Rivadavia 7420,"semáforo rojo, senda peatonal, Giro indebido",-34.6309456,-58.4700198,POINT (-58.4700198 -34.6309456),7
Analítica de video,Av. Rivadavia 6626,"semáforo rojo, senda peatonal, Giro indebido",-34.627858,-58.459097,POINT (-58.459097 -34.627858),7
Analítica de video,33 ORIENTALES 903,Invasión de ciclovia,-34.6211717,-58.4564399,POINT (-58.4564399 -34.6211717),7
Analítica de video,Av. Pueyrredón 214,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.627858,-58.459097,POINT (-58.459097 -34.627858),7
Analítica de video,Av. Nazca 479,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.6267026,-58.4712749,POINT (-58.4712749 -34.6267026),7
Cinemómetro,Av. Jose María Moreno 1657,Exceso de velocidad,-34.637517,-58.43205,POINT (-58.43205 -34.637517),7
Cinemómetro,Av. Eva Perón 1825,Exceso de velocidad,-34.635796,-58.448878,POINT (-58.448878 -34.635796),7
Cinemómetro,Av. San Pedrito 418,Exceso de velocidad,-34.635933,-58.467221,POINT (-58.467221 -34.635933),7
Cinemómetro,Av. Directorio 3078,Exceso de velocidad,-34.636173,-58.469959,POINT (-58.469959 -34.636173),7
Cinemómetro,Au. 25 de mayo km 4.1,Exceso de velocidad,-34.628748,-58.42634,POINT (-58.42634 -34.628748),7
Cinemómetro,Au. 25 de mayo km 4.1,Exceso de velocidad,-34.628748,-58.42634,POINT (-58.42634 -34.628748),7
Analítica de video,Av Mosconi 3000,"semáforo rojo, senda peatonal, Vía transversal",-34.5870146,-58.50341,POINT (-58.50341 -34.5870146),12
Analítica de video,Av. Cabildo 4718,"semáforo rojo, senda peatonal, Giro indebido",-34.5413779,-58.4741464,POINT (-58.4741464 -34.5413779),12
Analítica de video,Vedia 3438,"semáforo rojo, senda peatonal",-34.5441959,-58.4860639,POINT (-58.4860639 -34.5441959),12
Analítica de video,Gral. Cesar Díaz 2898,Invasión de ciclovia,-34.5871007,-58.5033248,POINT (-58.5033248 -34.5871007),12
Analítica de video,Av. Triunvirato 4520,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.5754872,-58.4848347,POINT (-58.4848347 -34.5754872),12
Cinemómetro,Calle Galván 3640,Exceso de velocidad,-34.560784,-58.492214,POINT (-58.492214 -34.560784),12
Cinemómetro,Av. Gral. Mosconi 3043,Exceso de velocidad,-34.587261,-58.503966,POINT (-58.503966 -34.587261),12
Cinemómetro,Av. Triunvirato 6300,Exceso de velocidad,-34.560037,-58.49607,POINT (-58.49607 -34.560037),12
Cinemómetro,Calle Crisologo Larralde 6037,Exceso de velocidad,-34.567206,-58.504409,POINT (-58.504409 -34.567206),12
Cinemómetro,Calle Crisologo Larralde 5295,Exceso de velocidad,-34.562812,-58.495362,POINT (-58.495362 -34.562812),12
Cinemómetro,Av. Donado 3660,Exceso de velocidad,-34.557964,-58.486566,POINT (-58.486566 -34.557964),12
Cinemómetro,Av. De los Constituyentes 5880,Exceso de velocidad,-34.573042,-58.503825,POINT (-58.503825 -34.573042),12
Cinemómetro,Av. Ricardo Balbin 4640,Exceso de velocidad,-34.554033,-58.49738,POINT (-58.49738 -34.554033),12
Cinemómetro,Av. Cabildo 4740,Exceso de velocidad,-34.541081,-58.474297,POINT (-58.474297 -34.541081),12
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,POINT (-58.501957 -34.553849),12
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,POINT (-58.501957 -34.553849),12
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,POINT (-58.501957 -34.553849),12
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,POINT (-58.501957 -34.553849),12
Cinemómetro,Calle Holmberg 3015,Exceso de velocidad,-34.564416,-58.481138,POINT (-58.481138 -34.564416),12
Analítica de video,Av Caseros 3020 sobre la plaza.,"semáforo rojo, senda peatonal",-34.6372008,-58.405921,POINT (-58.405921 -34.6372008),4
Analítica de video,Av. Int. Francisco Rabanal 1323,"semáforo rojo, senda peatonal",-34.6547635,-58.4172216,POINT (-58.4172216 -34.6547635),4
Analítica de video,AV. Saenz 1230,"semáforo rojo, senda peatonal",-34.6550245,-58.4161493,POINT (-58.4161493 -34.6550245),4
Analítica de video,AV. Montes de Oca 1685,"semáforo rojo, senda peatonal, Giro indebido",-34.6464535,-58.3733901,POINT (-58.3733901 -34.6464535),4
Analítica de video,LA PAMPA 4704,Invasión de ciclovia,-34.6372008,-58.405921,POINT (-58.405921 -34.6372008),4
Analítica de video,Lima Este (Plaza) y juan de garay,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6464535,-58.3733901,POINT (-58.3733901 -34.6464535),4
Analítica de video,Suarez 1635,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.6384136,-58.3737553,POINT (-58.3737553 -34.6384136),4
Cinemómetro,Au. Arturo Frondizi km 0.5,Exceso de velocidad,-34.647174,-58.374735,POINT (-58.374735 -34.647174),4
Cinemómetro,Au. Arturo Frondizi km 2.0,Exceso de velocidad,-34.634808,-58.37771,POINT (-58.37771 -34.634808),4
Cinemómetro,Av. Juan de Garay 2046,Exceso de velocidad,-34.627578,-58.39362,POINT (-58.39362 -34.627578),4
Cinemómetro,Au. Frondizi km 0.5,Exceso de velocidad,-34.647174,-58.374735,POINT (-58.374735 -34.647174),4
Cinemómetro,Au. Arturo Frondizi km 2.0,Exceso de velocidad,-34.634808,-58.37771,POINT (-58.37771 -34.634808),4
Cinemómetro,Av. Juan de Garay 2030,Exceso de velocidad,-34.627578,-58.39362,POINT (-58.39362 -34.627578),4
Cinemómetro,Av. Jujuy 1794,Exceso de velocidad,-34.631125,-58.400724,POINT (-58.400724 -34.631125),4
Cinemómetro,Av. Brasil 2085,Exceso de velocidad,-34.629948,-58.393885,POINT (-58.393885 -34.629948),4
Cinemómetro,Au. Arturo Frondizi km 1.3,Exceso de velocidad,-34.64009,-58.376556,POINT (-58.376556 -34.64009),4
Analítica de video,Av. Cabildo 1716,"semáforo rojo, senda peatonal",-34.5655339,-58.4538156,POINT (-58.4538156 -34.5655339),13
Analítica de video,Av. Álvarez Thomas 1294,"semáforo rojo, senda peatonal, Vía transversal",-34.578286,-58.4598168,POINT (-58.4598168 -34.578286),13
Analítica de video,Av. Virrey Vértiz 2010,"semáforo rojo, senda peatonal",-34.5590823,-58.4497814,POINT (-58.4497814 -34.5590823),13
Analítica de video,Vuelta de Obligado 2179,"semáforo rojo, senda peatonal",-34.5606815,-58.4560335,POINT (-58.4560335 -34.5606815),13
Analítica de video,Av. del Libertador 5722,"semáforo rojo, senda peatonal, Giro indebido",-34.5593889,-58.4457398,POINT (-58.4457398 -34.5593889),13
Analítica de video,CERETTI 2997,Invasión de ciclovia,-34.5655339,-58.4538156,POINT (-58.4538156 -34.5655339),13
Analítica de video,Av. Entre Ríos 326,"semáforo rojo, senda peatonal, Vía transversal, Uso de cinturón, uso de celular",-34.5593889,-58.4457398,POINT (-58.4457398 -34.5593889),13
Analítica de video,Av. Federico Lacroze 2462,"semáforo rojo, Doble fila, Uso de cinturón, uso de celular",-34.5711632,-58.4453548,POINT (-58.4453548 -34.5711632),13
Cinemómetro,Au. Intendente Cantilo km 8.7,Exceso de velocidad,-34.541997,-58.448972,POINT (-58.448972 -34.541997),13
Cinemómetro,Au. Intendente Cantilo km 8.7,Exceso de velocidad,-34.541997,-58.448972,POINT (-58.448972 -34.541997),13
Cinemómetro,Au. Leopoldo Lugones km 8.7,Exceso de velocidad,-34.542608,-58.449202,POINT (-58.449202 -34.542608),13
Cinemómetro,Au. Leopoldo Lugones km 7.6,Exceso de velocidad,-34.548313,-58.438831,POINT (-58.438831 -34.548313),13
Cinemómetro,Au. Intendente Cantilo km 8.7,Exceso de velocidad,-34.541997,-58.448972,POINT (-58.448972 -34.541997),13
Cinemómetro,Au. Leopoldo Lugones km 8.7,Exceso de velocidad,-34.542608,-58.449202,POINT (-58.449202 -34.542608),13
Cinemómetro,Au. Leopoldo Lugones km 8.7,Exceso de velocidad,-34.542608,-58.449202,POINT (-58.449202 -34.542608),13
Cinemómetro,Av. Del Libertador 7725,Exceso de velocidad,-34.54308,-58.461405,POINT (-58.461405 -34.54308),13
Cinemómetro,Av. Del Libertador 5666,Exceso de velocidad,-34.559786,-58.445175,POINT (-58.445175 -34.559786),13
Cinemómetro,Au. Intendente Cantilo km 7.55,Exceso de velocidad,-34.547917,-58.438557,POINT (-58.438557 -34.547917),13
Cinemómetro,Au. Intendente Cantilo km 9.86,Exceso de velocidad,-34.537088,-58.459187,POINT (-58.459187 -34.537088),13
Cinemómetro,Au. Intendente Cantilo km 9.8,Exceso de velocidad,-34.537088,-58.459187,POINT (-58.459187 -34.537088),13
Cinemómetro,Au. Leopoldo Lugones km 9.8,Exceso de velocidad,-34.537584,-58.459687,POINT (-58.459687 -34.537584),13
Cinemómetro,Au. Leopoldo Lugones km 9.8,Exceso de velocidad,-34.537584,-58.459687,POINT (-58.459687 -34.537584),13
Cinemómetro,Au. Leopoldo Lugones km 7.6,Exceso de velocidad,-34.548313,-58.438831,POINT (-58.438831 -34.548313),13
Cinemómetro,Au. Leopoldo Lugones km 7.6,Exceso de velocidad,-34.548313,-58.438831,POINT (-58.438831 -34.548313),13
Analítica de video,Av. Corrientes 3022,"semáforo rojo, senda peatonal",-34.6043626,-58.4080931,POINT (-58.4080931 -34.6043626),3
Analítica de video,Av. Corrientes 2813,"semáforo rojo, senda peatonal",-34.604368,-58.405723,POINT (-58.405723 -34.604368),3
Analítica de video,Av. Belgrano 3218,semáforo rojo,-34.6154775,-58.411437,POINT (-58.411437 -34.6154775),3
Analítica de video,Av. Independencia 2086,"semáforo rojo, senda peatonal",-34.618509,-58.3956791,POINT (-58.3956791 -34.618509),3
Analítica de video,Av. Rivadavia 2775,"semáforo rojo, senda peatonal",-34.6098817,-58.4055978,POINT (-58.4055978 -34.6098817),3
Analítica de video,Tte. Gral. Juan D. Perón 2687,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.6075053,-58.4044201,POINT (-58.4044201 -34.6075053),3
Analítica de video,Larrea 477,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.603716,-58.4021601,POINT (-58.4021601 -34.603716),3
Cinemómetro,Av. San Juan 2507,Exceso de velocidad,-34.62351,-58.400497,POINT (-58.400497 -34.62351),3
Cinemómetro,Av. Independencia 2660,Exceso de velocidad,-34.618768,-58.403085,POINT (-58.403085 -34.618768),3
Cinemómetro,Av. San Juan 2735,Exceso de velocidad,-34.623819,-58.403072,POINT (-58.403072 -34.623819),3
Cinemómetro,Au. 25 de mayo km 7.2,Exceso de velocidad,-34.623799,-58.392682,POINT (-58.392682 -34.623799),3
Cinemómetro,Au. 25 de mayo km 7.2,Exceso de velocidad,-34.623799,-58.392682,POINT (-58.392682 -34.623799),3
Cinemómetro,Au. 25 de mayo km 7.0,Exceso de velocidad,-34.624312,-58.39481,POINT (-58.39481 -34.624312),3
Cinemómetro,Au. 25 de mayo km 7.0,Exceso de velocidad,-34.624312,-58.39481,POINT (-58.39481 -34.624312),3
Analítica de video,Av. Coronel Roca 5870,"semáforo rojo, senda peatonal",-34.6896993,-58.4607644,POINT (-58.4607644 -34.6896993),8
Analítica de video,Av. Varela 2779,"semáforo rojo, senda peatonal",-34.6555379,-58.4385182,POINT (-58.4385182 -34.6555379),8
Analítica de video,Av. Rivadavia 5353,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6555379,-58.4385182,POINT (-58.4385182 -34.6555379),8
Cinemómetro,Au. Dellepiane km 1.15,Exceso de velocidad,-34.677815,-58.479359,POINT (-58.479359 -34.677815),8
Cinemómetro,Au. Dellepiane km 2.3,Exceso de velocidad,-34.667847,-58.474628,POINT (-58.474628 -34.667847),8
Cinemómetro,Au. Dellepiane km 1.15,Exceso de velocidad,-34.677866,-58.479048,POINT (-58.479048 -34.677866),8
Cinemómetro,Au. Dellepiane km 1.15,Exceso de velocidad,-34.677815,-58.479359,POINT (-58.479359 -34.677815),8
Cinemómetro,Av. 27 de febrero 10500,Exceso de velocidad,-34.698835,-58.456327,POINT (-58.456327 -34.698835),8
Cinemómetro,Av. 27 de febrero 10500,Exceso de velocidad,-34.698835,-58.456327,POINT (-58.456327 -34.698835),8
Cinemómetro,Au. Dellepiane km 2.3,Exceso de velocidad,-34.667847,-58.474628,POINT (-58.474628 -34.667847),8
Cinemómetro,Av. 27 de febrero 8375,Exceso de velocidad,-34.683218,-58.443227,POINT (-58.443227 -34.683218),8
Cinemómetro,Au. Dellepiane km 1.15,Exceso de velocidad,-34.677866,-58.479048,POINT (-58.479048 -34.677866),8
Cinemómetro,Au. Dellepiane km 2.3,Exceso de velocidad,-34.667696,-58.474928,POINT (-58.474928 -34.667696),8
Cinemómetro,Au. General Paz km 22.5,Exceso de velocidad,-34.694076,-58.475509,POINT (-58.475509 -34.694076),8
Cinemómetro,Av. Eva Perón 7280,Exceso de velocidad,-34.673378,-58.500386,POINT (-58.500386 -34.673378),8
Analítica de video,Av Santa Fe 4650,"semáforo rojo, senda peatonal, Giro indebido",-34.578466,-58.426036,POINT (-58.426036 -34.578466),14
Analítica de video,Pola 1205,Invasión de ciclovia,-34.5949669,-58.4287148,POINT (-58.4287148 -34.5949669),14
Analítica de video,Av. Scalabrini Ortiz 1385,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.5924145,-58.4270191,POINT (-58.4270191 -34.5924145),14
Cinemómetro,Av. Figueroa Alcorta 6184,Exceso de velocidad,-34.558211,-58.428843,POINT (-58.428843 -34.558211),14
Cinemómetro,Au. Arturo Humberto Illia km 3.9,Exceso de velocidad,-34.567341,-58.407185,POINT (-58.407185 -34.567341),14
Cinemómetro,Au. Arturo Humberto Illia km 3.9,Exceso de velocidad,-34.567341,-58.407185,POINT (-58.407185 -34.567341),14
Cinemómetro,Av. Figueroa Alcorta 4740,Exceso de velocidad,-34.56825,-58.41608,POINT (-58.41608 -34.56825),14
Cinemómetro,Av. Del Libertador 5275,Exceso de velocidad,-34.562421,-58.440355,POINT (-58.440355 -34.562421),14
Cinemómetro,Av. Sarmiento 4290,Exceso de velocidad,-34.57011,-58.410626,POINT (-58.410626 -34.57011),14
Cinemómetro,Av. Figueroa Alcorta 6180,Exceso de velocidad,-34.558211,-58.428843,POINT (-58.428843 -34.558211),14
Cinemómetro,Av. Rafael Obligado 4845,Exceso de velocidad,-34.552064,-58.426615,POINT (-58.426615 -34.552064),14
Cinemómetro,Av. Sarmiento 3480,Exceso de velocidad,-34.5738,-58.413855,POINT (-58.413855 -34.5738),14
Cinemómetro,Av. Dorrego 3370,Exceso de velocidad,-34.571904,-58.425513,POINT (-58.425513 -34.571904),14
Cinemómetro,Au. Leopoldo Lugones km 4.9,Exceso de velocidad,-34.563469,-58.415145,POINT (-58.415145 -34.563469),14
Cinemómetro,Au. Leopoldo Lugones km 4.9,Exceso de velocidad,-34.563469,-58.415145,POINT (-58.415145 -34.563469),14
Cinemómetro,Av. Dorrego 3700,Exceso de velocidad,-34.566905,-58.420924,POINT (-58.420924 -34.566905),14
Cinemómetro,Av. Dorrego 3700,Exceso de velocidad,-34.56716,-58.420969,POINT (-58.420969 -34.56716),14
Cinemómetro,Av. Figueroa Alcorta 4750,Exceso de velocidad,-34.56825,-58.41608,POINT (-58.41608 -34.56825),14
Analítica de video,Av. Las Heras 2289,"semáforo rojo, senda peatonal, Giro indebido",-34.587597,-58.3968022,POINT (-58.3968022 -34.587597),2
Analítica de video,Av. Santa Fe 2622,"semáforo rojo, senda peatonal",-34.5941423,-58.4040057,POINT (-58.4040057 -34.5941423),2
Analítica de video,Av. Pueyrredón 1418,"semáforo rojo, senda peatonal, Giro indebido, Uso de cinturón, uso de celular",-34.5941097,-58.4023757,POINT (-58.4023757 -34.5941097),2
Analítica de video,Av. Callao 1588,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.5909955,-58.3912392,POINT (-58.3912392 -34.5909955),2
Cinemómetro,Av. Figueroa Alcorta 2210,Exceso de velocidad,-34.5837,-58.391703,POINT (-58.391703 -34.5837),2
Analítica de video,Av. Olivera 187,"semáforo rojo, senda peatonal",-34.6376715,-58.4871991,POINT (-58.4871991 -34.6376715),10
Analítica de video,Av. Rivadavia 9618,"semáforo rojo, senda peatonal, Giro indebido",-34.6376219,-58.4997174,POINT (-58.4997174 -34.6376219),10
Analítica de video,Lima 1365,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6376219,-58.4997174,POINT (-58.4997174 -34.6376219),10
Cinemómetro,Calle Irigoyen 1761,Exceso de velocidad,-34.624617,-58.521342,POINT (-58.521342 -34.624617),10
Cinemómetro,Au. Perito Moreno km 2.9,Exceso de velocidad,-34.635783,-58.499819,POINT (-58.499819 -34.635783),10
Cinemómetro,Au. Perito Moreno km 2.9,Exceso de velocidad,-34.635783,-58.499819,POINT (-58.499819 -34.635783),10
Cinemómetro,Au. General Paz km 13.1,Exceso de velocidad,-34.629026,-58.530079,POINT (-58.530079 -34.629026),10
Cinemómetro,Au. General Paz km 13.1,Exceso de velocidad,-34.629026,-58.530079,POINT (-58.530079 -34.629026),10
Analítica de video,Av. Juan B. Justo 4781,"semáforo rojo, senda peatonal, Giro indebido",-34.6102978,-58.46633,POINT (-58.46633 -34.6102978),11
Analítica de video,Av. Córdoba 1980,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6102978,-58.46633,POINT (-58.46633 -34.6102978),11
Cinemómetro,Au. General Paz km 10.0,Exceso de velocidad,-34.599446,-58.523333,POINT (-58.523333 -34.599446),11
